"State","Percent of residents who completed primary vaccination series","Percent of staff who completed primary vaccination series","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"US","85.2","85.9","55.0","22.8","04/02/2023"
"AK","91.4","87.6","74.1","27.1","04/02/2023"
"AL","79.9","80.1","50.6","12.8","04/02/2023"
"AR","85.6","89.1","59.4","17.3","04/02/2023"
"AZ","73.4","83.8","36.3","16.2","04/02/2023"
"CA","88.3","94.7","61.0","45.8","04/02/2023"
"CO","87.3","90.0","62.4","35.3","04/02/2023"
"CT","91.6","96.6","64.9","20.7","04/02/2023"
"DC","86.7","98.7","64.6","44.5","04/02/2023"
"DE","92.1","93.8","73.8","21.7","04/02/2023"
"FL","79.2","81.4","37.7","14.6","04/02/2023"
"GA","84.5","90.2","54.6","16.4","04/02/2023"
"GU","77.8","100.0","72.2","43.0","04/02/2023"
"HI","92.7","97.5","73.5","42.1","04/02/2023"
"IA","92.2","81.6","67.8","20.3","04/02/2023"
"ID","81.7","75.9","54.1","18.1","04/02/2023"
"IL","86.9","86.9","61.1","31.0","04/02/2023"
"IN","84.3","79.6","51.8","15.5","04/02/2023"
"KS","85.8","77.5","57.0","18.4","04/02/2023"
"KY","84.9","85.1","56.8","14.0","04/02/2023"
"LA","85.5","84.6","52.5","16.4","04/02/2023"
"MA","92.7","97.1","69.4","41.1","04/02/2023"
"MD","88.1","95.3","63.9","28.6","04/02/2023"
"ME","93.7","98.5","64.0","19.8","04/02/2023"
"MI","85.4","81.5","54.6","15.2","04/02/2023"
"MN","92.2","83.8","71.2","22.9","04/02/2023"
"MO","81.2","72.3","51.0","15.6","04/02/2023"
"MS","84.2","86.6","48.7","12.7","04/02/2023"
"MT","86.3","73.7","57.8","20.9","04/02/2023"
"NC","85.0","90.0","57.3","19.4","04/02/2023"
"ND","91.2","80.1","73.2","23.5","04/02/2023"
"NE","91.4","80.5","66.5","18.7","04/02/2023"
"NH","93.0","94.3","69.0","26.8","04/02/2023"
"NJ","88.2","95.4","61.2","43.0","04/02/2023"
"NM","81.1","89.3","56.6","38.9","04/02/2023"
"NV","74.1","88.1","41.7","23.4","04/02/2023"
"NY","89.2","98.9","55.9","25.6","04/02/2023"
"OH","80.6","75.8","44.9","14.2","04/02/2023"
"OK","81.7","77.6","53.3","20.8","04/02/2023"
"OR","81.8","83.8","49.4","25.2","04/02/2023"
"PA","87.7","87.7","56.6","19.8","04/02/2023"
"PR","90.0","98.0","39.6","42.0","04/02/2023"
"RI","94.8","98.8","64.6","33.4","04/02/2023"
"SC","82.6","86.3","46.4","16.9","04/02/2023"
"SD","92.7","79.9","77.4","22.4","04/02/2023"
"TN","79.2","79.7","46.3","12.2","04/02/2023"
"TX","77.6","82.5","40.4","19.4","04/02/2023"
"UT","83.8","82.7","50.4","24.4","04/02/2023"
"VA","87.5","94.5","55.6","22.0","04/02/2023"
"VT","92.4","94.8","70.4","32.8","04/02/2023"
"WA","85.4","89.2","57.3","24.2","04/02/2023"
"WI","88.3","84.7","62.6","21.3","04/02/2023"
"WV","87.0","92.1","62.2","20.4","04/02/2023"
"WY","88.1","77.5","64.1","22.4","04/02/2023"

